Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight,Description
Brian Boru: High King of Ireland,2021,3,5,60,90,14,"['Card Game', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Closed Drafting', 'Hand Management', 'Trick-taking']",3003,7.55005,774,4200,76,359,1561,522,93,2.4516,brian boru high king ireland strive unit ireland domain secur control might cun matrimoni join forc fend vike invad build monasteri extend influenc gather support town villag throughout land becom high king ireland need navig web shift allianc outmaneuv enemi grab histori rein success histor brian boru rest three pillar victori vike favor manag garner church allianc forg polit marriag becam foundat game pillar becom suit tricktak form core mechan win trick gain influenc town turn gain major region lose trick howev deliber otherwis instead take action correspond suit card
Jump Drive,2017,2,4,10,30,13,"['Card Game', 'Science Fiction', 'Space Exploration']","['Hand Management', 'Simultaneous Action Selection']",4510,6.99382,1123,6348,229,215,1233,1097,106,2.0189,invent jump drive race galaxi begin develop new technolog settl world build space empir find win card combin jump drive fastpac card game introduc player race galaxi univers build prosper galact civil jump drive standalon game offer simpler rule shorter game older sister race galaxi —descript publish
DVONN,2001,2,2,30,30,9,['Abstract Strategy'],"['Grid Movement', 'Map Reduction']",4960,7.45702,591,6917,130,291,1318,1481,386,2.6632,dvonn play elong hexagon board 23 white 23 black 3 red dvonnpiec begin board empti player place piec empti space board without restrict place dvonnpiec first piec next start stack piec top singl piec may move 1 space direct stack two piec may move two space etc stack must alway move whole move must alway end top anoth piec stack piec stack lose contact dvonnpiec must remov board game end move made player put stack control top one highest stack winner game part project gipf
Point Salad,2019,2,6,15,30,8,['Card Game'],"['Open Drafting', 'Set Collection']",17480,7.17658,462,29303,300,304,2505,2431,353,1.153,point salad fast fun card draft game whole famili 100 way score point player may use varieti strategi everi game point salad uniqu card come six differ type veggi back card differ score method instanc one score method may award 2 point everi carrot deduct point everi onion draft combin veggi point card work strategi amass point win —descript publish
Linko,2014,2,5,20,20,10,['Card Game'],"['Hand Management', 'Move Through Deck', 'Open Drafting', 'Set Collection', 'Take That']",4926,6.99363,1072,7998,167,116,662,1020,240,1.3917,linko aka abluxxen take turn play number card card number play better card score point end game someon els play amount card higher number howev card get nick steal card good cant use later end game card hand theyll cost point detail deck contain 104 number card 113 x8 five joker card player start hand 13 card six card laid faceup next deck turn player lay one card valu ad joker desir alreadi card tabl lay card previous play card still visibl oppon recent play number card card lower valu activ player abluxx oppon — activ player take abluxx card hand oppon draw number card either display deck doesnt take card hand oppon either return card hand discard draw mani card refil display someon finish draw card joker play consid higher valu soon deck run card player card hand game end immedi even player would normal abluxx oppon player score one point card tabl front lose one point card hand whoever highest score win player wish play multipl round sum score round determin winner
Irish Gauge,2014,3,5,60,60,12,"['Economic', 'Trains']","['Auction/Bidding', 'Hexagon Grid', 'Income', 'Investment', 'Network and Route Building', 'Random Production', 'Stock Holding', 'Victory Points as a Resource']",3162,7.25133,1018,4984,108,235,1092,679,77,2.3506,irish gaug — one three titl winsom game 2014 essen set — play map ireland similar style mani stockbas cuberail game releas winsom game sinc 2007 player turn either place share one five compani auction build track repres cube one five compani upgrad town citi call dividend dividend paid sharehold certain railroad base mani citiestown connect mani share compani issu upgrad dividend action also affect game length likelihood dividend compani game end certain condit met end player turn player highest sum money stock valu end turn win irish gaug first titl iron rail seri capston game
Balloon Cup,2003,2,2,30,30,8,"['Aviation / Flight', 'Card Game']","['Hand Management', 'Set Collection', 'Take That']",6004,6.67301,1453,6329,144,329,988,2085,654,1.4587,balloon cup player compet sever short balloon flight hop collect color cube associ hop four landscap card – two plain altern two mountain – laid 1 2 3 4 cube assort color gray blue green yellow red ad card hand eight balloon card must tri pass landscap ad card match color block onto side tabl although wind cun may occasion caus play oppon side – move realli ruin oppon plan highvalu balloon play mountain lowvalu balloon play plain whoever better balloonist take cube card flip – mountain becom plain viceversa – refil cube five trophi card valu 3 7 place top card player collect enough cube given color earn trophi card color player may even trade three otherwis useless cube one use first player earn three trophi card winner
Call of Cthulhu: The Card Game,2008,2,2,30,30,13,"['Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']","['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']",3016,6.89349,1648,5400,283,107,546,794,218,2.8945,oldest strongest emot mankind fear oldest strongest kind fear fear unknown¨ hp lovecraft supernatur horror literatur welcom world call cthulhu card game world base weird fiction hp lovecraft literari circl world conflict rage cosmic power want world unfathom purpos human agenc dedic stop weird world hp lovecraft cthulhu mytho drawn fan eighti year rich paint theme suspens adventur eeri unknown call cthulhu card game fulli immers world place player control facet world typic game call cthulhu play quick two player highlevel player interact analysi open inform plan strategi wide varieti possibl combin faction syndic agenc cthulhu hastur etc combin necessit differ challeng approach provid high level replay one major appeal live card game® format give solid game experi full strategi excit also allow custom game experi like custom deck call cthulhu card game card pool get build strategi around person play style game origin ccg transit fantasi flight game new live card game lcg format month asylum pack expans card pool eventu supplant larger quarterlyish expans box ffg end develop organ play support game 2015 dead etern lie strang aeon even death may die
Schotten Totten,1999,2,2,20,20,8,['Card Game'],"['Card Play Conflict Resolution', 'Hand Management', 'Melding and Splaying', 'Set Collection']",10788,7.35095,400,18275,208,274,1996,1995,450,1.7044,schotten totten nine boundari stone lie oppon front build pokerlik format three card side whoever play higherrank format win stone uniqu twist may use power logic claim stone even oppon play three card demonstr stone imposs win success claim five stone three adjac stone win game 2000 gmt publish rethem version battl line includ extra 10 tactic card modifi standard game play card run 1 10 instead 1 9 2004 edit schottentotten tactic card schottentotten faq
Navegador,2010,2,5,60,90,12,"['Economic', 'Exploration', 'Nautical', 'Renaissance']","['Advantage Token', 'Area Movement', 'Market', 'Rondel']",9056,7.53886,289,8887,180,602,2116,1805,573,3.0855,game inspir portugues age discoveri 15th16th centuri player take action contract men acquir ship build sail sea establish coloni discov land trade good market get privileg player start two ship three worker tri expand wealth sever undiscov land allow player discov found coloni coloni exist differ place sugar gold spice avail sold market make money money use build ship erect build factori shipyard church get worker worker necessari found coloni acquir build privileg exist five categori therefor encourag player follow differ strategi compet end game player success combin privileg achiev coloni factori discoveri shipyard church winner
