Name,Year,min_players,max_players,min_playtime,max_playtime,min_age,category,mechanic,userrated,avg_rate,rank,owned,trading,wanting,wishing,num_comments,num_weights,avg_weight
Brian Boru: High King of Ireland,2021,3,5,60,90,14,"['Card Game', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Closed Drafting', 'Hand Management', 'Trick-taking']",3003,7.55005,774,4200,76,359,1561,522,93,2.4516
Jump Drive,2017,2,4,10,30,13,"['Card Game', 'Science Fiction', 'Space Exploration']","['Hand Management', 'Simultaneous Action Selection']",4510,6.99382,1123,6348,229,215,1233,1097,106,2.0189
DVONN,2001,2,2,30,30,9,['Abstract Strategy'],"['Grid Movement', 'Map Reduction']",4960,7.45702,591,6917,130,291,1318,1481,386,2.6632
Point Salad,2019,2,6,15,30,8,['Card Game'],"['Open Drafting', 'Set Collection']",17480,7.17658,462,29303,300,304,2505,2431,353,1.153
Linko,2014,2,5,20,20,10,['Card Game'],"['Hand Management', 'Move Through Deck', 'Open Drafting', 'Set Collection', 'Take That']",4926,6.99363,1072,7998,167,116,662,1020,240,1.3917
Irish Gauge,2014,3,5,60,60,12,"['Economic', 'Trains']","['Auction/Bidding', 'Hexagon Grid', 'Income', 'Investment', 'Network and Route Building', 'Random Production', 'Stock Holding', 'Victory Points as a Resource']",3162,7.25133,1018,4984,108,235,1092,679,77,2.3506
Balloon Cup,2003,2,2,30,30,8,"['Aviation / Flight', 'Card Game']","['Hand Management', 'Set Collection', 'Take That']",6004,6.67301,1453,6329,144,329,988,2085,654,1.4587
Call of Cthulhu: The Card Game,2008,2,2,30,30,13,"['Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']","['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']",3016,6.89349,1648,5400,283,107,546,794,218,2.8945
Schotten Totten,1999,2,2,20,20,8,['Card Game'],"['Card Play Conflict Resolution', 'Hand Management', 'Melding and Splaying', 'Set Collection']",10788,7.35095,400,18275,208,274,1996,1995,450,1.7044
Navegador,2010,2,5,60,90,12,"['Economic', 'Exploration', 'Nautical', 'Renaissance']","['Advantage Token', 'Area Movement', 'Market', 'Rondel']",9056,7.53886,289,8887,180,602,2116,1805,573,3.0855
BattleCON: Devastation of Indines,2013,1,5,45,45,10,"['Card Game', 'Fantasy', 'Fighting']","['Hand Management', 'Point to Point Movement', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Team-Based Game', 'Variable Player Powers']",3244,7.84002,560,5192,243,198,1154,827,160,3.0875
Poker,1810,2,10,60,60,12,"['Bluffing', 'Card Game']","['Betting and Bluffing', 'Player Elimination', 'Set Collection']",10677,6.71863,1212,9715,50,8,97,2252,697,2.4218
Pictures,2019,3,5,20,30,8,"['Deduction', 'Party Game']","['Communication Limits', 'Deduction', 'Pattern Recognition']",2541,7.21218,1254,4256,44,75,691,409,58,1.0172
Warfighter: The Tactical Special Forces Card Game,2014,1,6,30,180,0,"['Card Game', 'Modern Warfare', 'Wargame']","['Action Points', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Simulation', 'Solo / Solitaire Game', 'Variable Player Powers']",1314,7.70181,1667,2753,96,142,650,428,101,2.7228
