,1,2,3,4,5,6,7,8,9,10
337765,3,5,7,24,103,332,748,"1,318",357,109
205597,6,21,49,139,306,949,"1,315","1,273",324,131
2346,14,20,27,71,191,619,"1,396","1,744",609,285
274960,15,26,60,220,723,"3,184","6,087","5,724","1,080",399
153065,5,16,29,106,270,"1,111","1,690","1,334",272,96
161882,6,10,23,55,143,462,947,"1,209",251,66
5716,13,38,83,184,486,"1,665","2,026","1,264",178,70
40270,12,16,58,131,251,643,824,701,253,134
372,21,22,42,122,362,"1,629","3,381","3,838",995,400
66589,24,14,30,87,247,"1,028","2,334","3,889","1,104",311
123123,19,21,28,47,119,365,537,976,553,581
1115,113,161,309,675,"1,168","2,337","2,245","1,890",892,905
284108,6,13,18,40,110,468,758,825,216,90
149951,2,5,14,16,44,147,248,491,220,128
174785,9,12,24,75,124,557,886,"1,529",574,248
42,86,117,221,488,945,"3,134","5,632","9,752","4,691","3,097"
240271,1,2,5,7,10,28,77,242,286,297
96007,5,8,15,21,50,183,315,412,178,115
259081,14,20,53,88,127,421,640,652,150,70
193738,102,77,165,305,683,"2,097","4,718","14,461","999,999","6,010"
340325,2,6,18,24,56,182,286,605,266,134
31105,6,14,36,102,262,997,"1,028",604,110,49
281259,39,27,77,170,487,"1,840","4,053","8,461","2,926","1,404"
21348,26,23,50,111,317,"1,137","2,647","3,517",918,362
242639,7,23,52,120,251,952,"1,737","2,123",529,166
171273,11,34,66,192,430,"1,908","2,737","2,451",511,159
266507,39,22,38,62,132,350,669,"2,200","2,421","2,502"
22545,27,26,78,178,369,"1,261","2,392","3,900","1,374",608
494,16,28,84,213,415,"1,340","1,411",920,238,79
244513,3,3,6,21,84,327,554,536,106,65
4396,8,15,37,133,346,"1,117","1,200",804,117,44
199383,1,6,20,39,106,358,683,815,173,40
66505,9,18,50,122,248,"1,041","1,634","1,572",270,89
22877,9,8,19,30,39,112,185,366,331,170
3076,212,183,412,678,"1,608","999,999","999,999","25,088","14,178","8,733"
195539,19,21,53,127,246,820,"1,746","3,007",975,381
122842,3,10,31,58,98,296,391,573,157,85
62219,71,101,205,340,624,"1,983","3,413","7,310","4,051","2,516"
299684,1,7,21,43,96,402,821,"1,377",306,116
1345,20,51,80,179,366,"1,103","1,758","1,901",499,168
72321,9,19,37,106,261,"1,171","1,978","2,243",418,113
46396,10,7,25,43,97,386,529,566,150,68
144041,2,19,32,77,128,403,527,701,188,78
148729,9,7,18,39,100,409,909,"1,374",373,108
230933,9,17,51,96,192,595,983,"1,233",304,86
75165,4,10,15,56,97,320,526,706,183,59
365104,1,2,4,10,42,201,435,512,82,41
310873,14,15,21,54,114,461,"1,052","3,143","1,774",672
